3134 [Test worker] INFO  manager.ApplicationManager  Testing on Firefox Driver
3713 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestEmail
3714 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
13744 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
13746 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestEmail
13748 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
13761 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
14023 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
14041 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
14326 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
14334 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
14612 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
14629 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
16440 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
26453 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
26456 [Test worker] INFO  manager.NGListener  Test success: loginNegativeTestEmail
26457 [Test worker] INFO  tests.TestBase     ### Finished ###
26458 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestPassword
26458 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
36471 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
36472 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestPassword
36472 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
36491 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
36721 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
36738 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
37019 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
37036 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
37311 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
37331 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
38100 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
48123 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
48124 [Test worker] INFO  manager.NGListener  Test success: loginNegativeTestPassword
48124 [Test worker] INFO  tests.TestBase     ### Finished ###
48125 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
48125 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
58143 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
58144 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
58144 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
58161 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
58392 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
58411 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
58690 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
58706 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
58978 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
58985 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
59217 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
59281 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
59281 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTest
59281 [Test worker] INFO  tests.TestBase     ### Finished ###
59285 [Test worker] INFO  tests.TestBase     ### Start test regNegativeTestMail
59285 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
59298 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
