1665 [Test worker] INFO  manager.ApplicationManager  Testing on Chrome Driver
2306 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTestWithCVS
2307 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
12347 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
12347 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
12348 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
12348 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
12365 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
12402 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
12426 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
12527 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
12552 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
12643 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
12659 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
12690 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
13758 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
13761 [Test worker] INFO  manager.NGListener  Test success: regPositiveTestWithCVS
13762 [Test worker] INFO  tests.TestBase     ### Finished ###
13763 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTestWithCVS
13763 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
13775 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
13775 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
13794 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
13827 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
13827 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
13827 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
13836 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
13867 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
13883 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
13968 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
13979 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
14072 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
14087 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
14119 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
14446 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
14446 [Test worker] INFO  manager.NGListener  Test success: regPositiveTestWithCVS
14446 [Test worker] INFO  tests.TestBase     ### Finished ###
14447 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTestWithCVS
14447 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
14463 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
14463 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
14478 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
14514 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
14514 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
14514 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
14526 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
14558 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
14572 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
14674 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
14680 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
14780 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
14791 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
14826 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
15146 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
15147 [Test worker] INFO  manager.NGListener  Test success: regPositiveTestWithCVS
15147 [Test worker] INFO  tests.TestBase     ### Finished ###
